t,m,E,lon,lat
1820.941307,4.2,27578459563,89.5,37.3
1855.42488,3.8,7056185742,89.2,37
1872.188569,3.6,3709966639,89.2,37
1874.607974,3.6,3709966639,89.2,37
1877.624401,4.3,39406694255,89.7,36.8
1877.968686,3.6,3709966639,89.2,37
1878.107974,3.6,3709966639,89.2,37
1878.282854,4.2,27578459563,89.1,36.8
1878.968686,4.9,3.84034E+11,89.3,36.7
1882.63809,4.2,27578459563,89.2,36.9
1883.11345,4.6,1.19501E+11,89.2,37
1883.366188,4,13771143517,89.2,37
1883.621663,4.1,19425401519,89.1,37
1886.299281,4.3,39406694255,89.2,37
1887.672142,4.7,1.75214E+11,89.2,37
1895.918207,6.2,1.18187E+14,89.4,37
